work_year,job_title,salary_in_usd,employee_residence,company_location,job_category,experience_level_desc,employment_type_desc,work_setting,company_size_desc,region,residence_region,domestic_employment,cost_of_living_index,tech_stack,english_level,tech_specialization,role_maturity,career_path,ai_relationship,demand_index,economic_period,adjusted_salary,salary_to_experience_ratio,normalized_salary,total_compensation_estimate,work_life_balance,automation_risk,company_sector,salary_bracket,salary_competitiveness
2023,Principal Data Scientist,85847,ES,ES,Senior Data Scientist,Senior,Full-time,Remote,Large,Europe,Europe,True,75.0,"Python, R, SQL, Cloud, Advanced ML, Leadership",Advanced,8.0,Established,Technical,Manages AI,9.2,Post-Pandemic,114462.66666666667,28615.666666666668,55744.805194805194,103016.4,3.0,3.5,Services,Low,Below Average
2023,ML Engineer,30000,US,US,ML Engineer,Mid-Level,Contract,Remote,Small,North America,North America,True,100.0,"Python, TensorFlow/PyTorch, MLOps, Docker, Git",Native,8.0,Emerging,Technical,Develops AI,9.5,Post-Pandemic,30000.0,15000.0,30000.0,36000.0,3.5,3.0,Startup/Tech,Low,Below Average
2023,ML Engineer,25500,US,US,ML Engineer,Mid-Level,Contract,Remote,Small,North America,North America,True,100.0,"Python, TensorFlow/PyTorch, MLOps, Docker, Git",Native,8.0,Emerging,Technical,Develops AI,9.5,Post-Pandemic,25500.0,12750.0,25500.0,30600.0,3.5,3.0,Startup/Tech,Low,Below Average
2023,Data Scientist,175000,CA,CA,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,95.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,184210.5263157895,58333.333333333336,125000.00000000001,213500.00000000003,3.0,4.0,Mixed,Medium-High,Competitive
2023,Data Scientist,120000,CA,CA,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,95.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,126315.78947368421,40000.0,85714.28571428572,146400.00000000003,3.0,4.0,Mixed,Medium-Low,Below Average
2023,Applied Scientist,222200,US,US,Applied Data Scientist,Senior,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,222200.0,74066.66666666667,158714.2857142857,288859.99999999994,2.0,3.8,Technology,High,Highly Competitive
2023,Applied Scientist,136000,US,US,Applied Data Scientist,Senior,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,136000.0,45333.333333333336,97142.85714285714,176799.99999999997,2.0,3.8,Technology,Medium-High,Competitive
2023,Data Scientist,219000,CA,CA,Data Scientist,Senior,Full-time,On-site,Medium,North America,North America,True,95.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,230526.3157894737,73000.0,156428.57142857145,267180.00000000006,2.0,4.0,Mixed,High,Competitive
2023,Data Scientist,141000,CA,CA,Data Scientist,Senior,Full-time,On-site,Medium,North America,North America,True,95.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,148421.05263157896,47000.0,100714.28571428572,172020.00000000003,2.0,4.0,Mixed,Medium-High,Average
2023,Data Scientist,147100,US,US,Data Scientist,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,147100.0,49033.333333333336,105071.42857142858,183875.0,2.0,4.0,Technology,Medium-High,Average
2023,Data Scientist,90700,US,US,Data Scientist,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,90700.0,30233.333333333332,64785.71428571429,113375.0,2.0,4.0,Technology,Low,Below Average
